# source_run=33242663070 head=0ed773f1a5 (full-tree floor, my branch)  seam_denominator=14  digest=8f7b9bb846bdac2c
# candidate_entries=1145  joined_claims=8450  standing is SCHEDULER standing, not cutover disposition
claim_identity	module	entry_path	floor_standing	matched_prefix
test.claim.codex_app_server_press_witness_test.preflight_subject_carries_runtime_receipt_and_probe_key	test.claim.codex_app_server_press_witness_test	dag/test/claim/codex_app_server_press_witness_test.dag	FloorPlanned	
test.claim.codex_app_server_press_witness_test.preflight_subject_without_turn_never_displays_as_running_or_finished	test.claim.codex_app_server_press_witness_test	dag/test/claim/codex_app_server_press_witness_test.dag	FloorPlanned	
test.claim.codex_app_server_press_witness_test.press_account_trip_itinerary_is_three_steps_without_turn_start	test.claim.codex_app_server_press_witness_test	dag/test/claim/codex_app_server_press_witness_test.dag	FloorPlanned	
test.claim.codex_app_server_press_witness_test.press_itinerary_wire_names_match_generated_schema	test.claim.codex_app_server_press_witness_test	dag/test/claim/codex_app_server_press_witness_test.dag	FloorPlanned	
test.claim.codex_app_server_press_witness_test.press_turn_target_itinerary_is_five_steps_starting_with_initialize	test.claim.codex_app_server_press_witness_test	dag/test/claim/codex_app_server_press_witness_test.dag	FloorPlanned	
test.claim.codex_app_server_press_witness_test.quota_refusal_caption_is_quota_exhausted_not_accepted	test.claim.codex_app_server_press_witness_test	dag/test/claim/codex_app_server_press_witness_test.dag	FloorPlanned	
test.claim.codex_app_server_press_witness_test.real_sibling_limit_id_is_never_reported_as_codex	test.claim.codex_app_server_press_witness_test	dag/test/claim/codex_app_server_press_witness_test.dag	FloorPlanned	
test.claim.codex_app_server_press_witness_test.saturated_primary_window_is_quota_reached	test.claim.codex_app_server_press_witness_test	dag/test/claim/codex_app_server_press_witness_test.dag	FloorPlanned	
test.claim.codex_app_server_press_witness_test.spend_control_reached_is_quota_reached	test.claim.codex_app_server_press_witness_test	dag/test/claim/codex_app_server_press_witness_test.dag	FloorPlanned	
test.claim.codex_app_server_press_witness_test.stdio_binding_derives_from_runtime_bundle	test.claim.codex_app_server_press_witness_test	dag/test/claim/codex_app_server_press_witness_test.dag	FloorPlanned	
test.claim.codex_app_server_press_witness_test.unknown_frame_is_digested_not_silent	test.claim.codex_app_server_press_witness_test	dag/test/claim/codex_app_server_press_witness_test.dag	FloorPlanned	
test.claim.codex_device_prompt_witness.codex_device_prompt_keystone_holds	test.claim.codex_device_prompt_witness	dag/test/claim/codex_device_prompt_witness_test.dag	FloorPlanned	
test.claim.codex_device_prompt_witness.escape_carrying_rendering_would_yield_an_unpasteable_code	test.claim.codex_device_prompt_witness	dag/test/claim/codex_device_prompt_witness_test.dag	FloorPlanned	
test.claim.codex_device_prompt_witness.escape_retaining_capture_refuses_to_render	test.claim.codex_device_prompt_witness	dag/test/claim/codex_device_prompt_witness_test.dag	FloorPlanned	
test.claim.codex_device_prompt_witness.tmux_captured_prompt_parses_to_a_pasteable_code	test.claim.codex_device_prompt_witness	dag/test/claim/codex_device_prompt_witness_test.dag	FloorPlanned	
test.claim.codex_package_delivery_wet_witness_test.acquire_exact_target_pair_admits_wrapper_and_platform	test.claim.codex_package_delivery_wet_witness_test	dag/test/claim/codex_package_delivery_wet_witness_test.dag	FloorPlanned	
test.claim.codex_package_delivery_wet_witness_test.acquire_required_codex_tarball_sha512_matches_lock	test.claim.codex_package_delivery_wet_witness_test	dag/test/claim/codex_package_delivery_wet_witness_test.dag	FloorPlanned	
test.claim.codex_package_delivery_wet_witness_test.materialize_codex_runtime_bundle_produces_native_executable_holds	test.claim.codex_package_delivery_wet_witness_test	dag/test/claim/codex_package_delivery_wet_witness_test.dag	FloorPlanned	
test.claim.codex_package_delivery_wet_witness_test.materialize_identical_input_twice_reuses_same_release_identity_holds	test.claim.codex_package_delivery_wet_witness_test	dag/test/claim/codex_package_delivery_wet_witness_test.dag	FloorPlanned	
test.claim.codex_package_lock_parse_witness_test.admitted_and_executed_lock_bytes_disagree_when_forked	test.claim.codex_package_lock_parse_witness_test	dag/test/claim/codex_package_lock_parse_witness_test.dag	FloorPlanned	
test.claim.codex_package_lock_parse_witness_test.archive_digest_admission_matches_and_mismatches	test.claim.codex_package_lock_parse_witness_test	dag/test/claim/codex_package_lock_parse_witness_test.dag	FloorPlanned	
test.claim.codex_package_lock_parse_witness_test.codex_runtime_version_identity_refuses_ambient_srv1_version	test.claim.codex_package_lock_parse_witness_test	dag/test/claim/codex_package_lock_parse_witness_test.dag	FloorPlanned	
test.claim.codex_package_lock_parse_witness_test.committed_codex_lock_admits_under_codex_profile	test.claim.codex_package_lock_parse_witness_test	dag/test/claim/codex_package_lock_parse_witness_test.dag	FloorPlanned	
test.claim.codex_package_lock_parse_witness_test.committed_codex_lock_parses_v3_roster	test.claim.codex_package_lock_parse_witness_test	dag/test/claim/codex_package_lock_parse_witness_test.dag	FloorPlanned	
test.claim.codex_package_lock_parse_witness_test.link_node_is_unsupported_not_half_modeled	test.claim.codex_package_lock_parse_witness_test	dag/test/claim/codex_package_lock_parse_witness_test.dag	FloorPlanned	
test.claim.codex_package_lock_parse_witness_test.linux_arm64_exact_closure_is_wrapper_plus_platform_lock_node	test.claim.codex_package_lock_parse_witness_test	dag/test/claim/codex_package_lock_parse_witness_test.dag	FloorPlanned	
test.claim.codex_package_lock_parse_witness_test.lockfile_v2_text_refuses	test.claim.codex_package_lock_parse_witness_test	dag/test/claim/codex_package_lock_parse_witness_test.dag	FloorPlanned	
test.claim.codex_package_lock_parse_witness_test.non_registry_locator_refuses_before_fetch	test.claim.codex_package_lock_parse_witness_test	dag/test/claim/codex_package_lock_parse_witness_test.dag	FloorPlanned	
test.claim.codex_package_lock_parse_witness_test.openai_codex_wrapper_selected_by_exact_lock_node_key	test.claim.codex_package_lock_parse_witness_test	dag/test/claim/codex_package_lock_parse_witness_test.dag	FloorPlanned	
test.claim.codex_package_lock_parse_witness_test.selected_node_with_install_script_refuses	test.claim.codex_package_lock_parse_witness_test	dag/test/claim/codex_package_lock_parse_witness_test.dag	FloorPlanned	
test.claim.codex_package_lock_parse_witness_test.selected_node_wrong_optional_keeps_key_but_refuses	test.claim.codex_package_lock_parse_witness_test	dag/test/claim/codex_package_lock_parse_witness_test.dag	FloorPlanned	
test.claim.codex_package_lock_parse_witness_test.selected_node_wrong_version_keeps_key_but_refuses	test.claim.codex_package_lock_parse_witness_test	dag/test/claim/codex_package_lock_parse_witness_test.dag	FloorPlanned	
test.claim.codex_package_lock_parse_witness_test.selected_platform_wrong_os_keeps_key_but_refuses	test.claim.codex_package_lock_parse_witness_test	dag/test/claim/codex_package_lock_parse_witness_test.dag	FloorPlanned	
test.claim.codex_package_lock_parse_witness_test.srv1_codex_bundled_executable_is_package_delivery_authority	test.claim.codex_package_lock_parse_witness_test	dag/test/claim/codex_package_lock_parse_witness_test.dag	FloorPlanned	
test.claim.codex_package_lock_parse_witness_test.srv1_committed_lock_bundled_executable_is_present	test.claim.codex_package_lock_parse_witness_test	dag/test/claim/codex_package_lock_parse_witness_test.dag	FloorPlanned	
test.claim.codex_provider_runtime_receipt_witness.witness_runtime_receipt_derives_three_roots_and_honest_fingerprint	test.claim.codex_provider_runtime_receipt_witness	dag/test/claim/codex_provider_runtime_receipt_witness_test.dag	FloorPlanned	
test.claim.codex_provider_runtime_receipt_witness.witness_runtime_receipt_refuses_unknown_host	test.claim.codex_provider_runtime_receipt_witness	dag/test/claim/codex_provider_runtime_receipt_witness_test.dag	FloorPlanned	
test.claim.codex_supervised_turn_wet_witness_test.supervised_turn_materialized_bundle_writes_terminal_receipt	test.claim.codex_supervised_turn_wet_witness_test	dag/test/claim/codex_supervised_turn_wet_witness_test.dag	FloorPlanned	
test.claim.codex_supervised_turn_wet_witness_test.wet_acquire_platform_artifact_only	test.claim.codex_supervised_turn_wet_witness_test	dag/test/claim/codex_supervised_turn_wet_witness_test.dag	FloorPlanned	
test.claim.codex_supervised_turn_wet_witness_test.wet_acquire_selected_pair_only	test.claim.codex_supervised_turn_wet_witness_test	dag/test/claim/codex_supervised_turn_wet_witness_test.dag	FloorPlanned	
test.claim.codex_supervised_turn_wet_witness_test.wet_acquire_wrapper_artifact_only	test.claim.codex_supervised_turn_wet_witness_test	dag/test/claim/codex_supervised_turn_wet_witness_test.dag	FloorPlanned	
test.claim.codex_supervised_turn_wet_witness_test.wet_codex_runtime_prepare_closure_only	test.claim.codex_supervised_turn_wet_witness_test	dag/test/claim/codex_supervised_turn_wet_witness_test.dag	FloorPlanned	
test.claim.codex_supervised_turn_wet_witness_test.wet_committed_admitted_source_construct_only	test.claim.codex_supervised_turn_wet_witness_test	dag/test/claim/codex_supervised_turn_wet_witness_test.dag	FloorPlanned	
test.claim.codex_supervised_turn_wet_witness_test.wet_committed_admitted_source_lock_admits	test.claim.codex_supervised_turn_wet_witness_test	dag/test/claim/codex_supervised_turn_wet_witness_test.dag	FloorPlanned	
test.claim.codex_supervised_turn_wet_witness_test.wet_finish_observe_lock_digest_only	test.claim.codex_supervised_turn_wet_witness_test	dag/test/claim/codex_supervised_turn_wet_witness_test.dag	FloorPlanned	
